tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0468569,The Dark Knight,The Dark Knight,2008,152,"Action,Crime,Drama",9.1,3096809
tt4154756,Avengers: Infinity War,Avengers: Infinity War,2018,149,"Action,Adventure,Sci-Fi",8.4,1331123
tt0372784,Batman Begins,Batman Begins,2005,140,"Action,Crime,Drama",8.2,1681495
tt0119488,L.A. Confidential,L.A. Confidential,1997,138,"Crime,Drama,Mystery",8.2,650622
tt0206634,Children of Men,Children of Men,2006,109,"Drama,Sci-Fi,Thriller",7.9,557613
tt2338151,PK,PK,2014,153,"Comedy,Drama,Musical",8.1,217552
tt0432283,Fantastic Mr. Fox,Fantastic Mr. Fox,2009,87,"Adventure,Animation,Comedy",7.9,296187
tt0094625,Akira,Akira,1988,124,"Action,Animation,Drama",8,221455
tt0074958,Network,Network,1976,121,Drama,8.1,183033
tt0104257,A Few Good Men,A Few Good Men,1992,138,"Drama,Thriller",7.7,309271
tt0040897,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,1948,126,"Adventure,Drama,Western",8.2,139640
tt0449467,Babel,Babel,2006,143,Drama,7.5,326342
tt13833688,The Whale,The Whale,2022,117,Drama,7.6,255875
tt0343818,"I, Robot","I, Robot",2004,115,"Action,Mystery,Sci-Fi",7.1,606029
tt1302011,Kung Fu Panda 2,Kung Fu Panda 2,2011,90,"Action,Adventure,Animation",7.3,348059
tt0100150,Miller's Crossing,Miller's Crossing,1990,115,"Crime,Drama,Thriller",7.7,147832
tt10370710,The Worst Person in the World,Verdens verste menneske,2021,128,"Comedy,Drama,Romance",7.7,118093
tt0055614,West Side Story,West Side Story,1961,153,"Crime,Drama,Musical",7.6,126144
tt1568921,The Secret World of Arrietty,Karigurashi no Arietti,2010,94,"Adventure,Animation,Drama",7.6,114362
tt0441909,Volver,Volver,2006,121,"Comedy,Drama",7.6,111624
tt1185616,Waltz with Bashir,Vals Im Bashir,2008,90,"Animation,Biography,Documentary",8,62206
tt0320691,Underworld,Underworld,2003,121,"Action,Fantasy,Thriller",7,297484
tt4044364,Citizenfour,Citizenfour,2014,114,"Biography,Documentary",8,59575
tt0404203,Little Children,Little Children,2006,137,"Drama,Romance",7.5,120868
tt5571734,Pink,Pink,2016,136,"Crime,Drama,Thriller",8,51228
tt1436562,Rio,Rio,2011,96,"Adventure,Animation,Comedy",6.9,267283
tt0111282,Stargate,Stargate,1994,121,"Action,Adventure,Sci-Fi",7,215968
tt0124315,The Cider House Rules,The Cider House Rules,1999,126,"Drama,Romance",7.4,108451
tt2404435,The Magnificent Seven,The Magnificent Seven,2016,132,"Action,Adventure,Drama",6.9,241509
tt0089927,Rocky IV,Rocky IV,1985,91,"Drama,Sport",6.9,240602
tt7740496,Nightmare Alley,Nightmare Alley,2021,150,"Crime,Drama,Thriller",7,179111
tt1714206,The Spectacular Now,The Spectacular Now,2013,95,"Drama,Romance",7,167116
tt1211956,Escape Plan,Escape Plan,2013,115,"Action,Thriller",6.7,268171
tt1100089,Foxcatcher,Foxcatcher,2014,134,"Biography,Drama,History",7,153863
tt0089853,The Purple Rose of Cairo,The Purple Rose of Cairo,1985,82,"Comedy,Fantasy,Romance",7.6,58353
tt0100234,Close-Up,Nema-ye nazdik,1990,98,"Biography,Crime,Drama",8.2,26000
tt1172570,Bronson,Bronson,2008,92,"Action,Crime,Drama",7,147281
tt1599348,Safe House,Safe House,2012,115,"Action,Thriller",6.7,247030
tt1379182,Dogtooth,Kynodontas,2009,97,"Drama,Thriller",7.1,119985
tt13391710,Jana Gana Mana,Jana Gana Mana,2022,162,"Drama,Thriller",8.3,21297
tt3461252,The Blue Elephant,The Blue Elephant,2014,170,"Crime,Drama,Horror",8,30834
tt0137363,Arlington Road,Arlington Road,1999,117,"Action,Crime,Drama",7.2,96345
tt1731141,Ender's Game,Ender's Game,2013,114,"Action,Adventure,Sci-Fi",6.6,262724
tt0120889,What Dreams May Come,What Dreams May Come,1998,113,"Drama,Fantasy,Romance",7,119133
tt0102266,The Last Boy Scout,The Last Boy Scout,1991,105,"Action,Comedy,Crime",7,118613
tt0082348,Excalibur,Excalibur,1981,140,"Adventure,Drama,Fantasy",7.3,71508
tt0857191,The Visitor,The Visitor,2007,104,Drama,7.6,45802
tt2262227,The Book of Life,The Book of Life,2014,95,"Adventure,Animation,Comedy",7.2,82924
tt0059550,Operation 'Y' & Other Shurik's Adventures,Operatsiya 'Y' i drugie priklyucheniya Shurika,1965,95,"Comedy,Crime,Drama",8.4,16048
tt0139239,Go,Go,1999,102,"Comedy,Crime",7.2,78796
tt0053619,L'Avventura,L'avventura,1960,144,"Drama,Mystery,Romance",7.7,36441
tt0808357,"Lust, Caution","Se, jie",2007,157,"Drama,History,Romance",7.5,47749
tt0055852,Cléo from 5 to 7,Cléo de 5 à 7,1962,90,"Comedy,Drama,Music",7.8,30561
tt0105112,Patriot Games,Patriot Games,1992,117,"Action,Thriller",6.8,126738
tt0191043,The Color of Paradise,Rang-e khoda,1999,90,"Drama,Family",8.1,19136
tt0100998,Dreams,Yume,1990,119,"Drama,Fantasy",7.7,31800
tt0046816,The Caine Mutiny,The Caine Mutiny,1954,124,"Drama,War",7.7,31764
tt0063415,The Party,The Party,1968,99,"Comedy,Romance",7.4,46274
tt10869778,Maidaan,Maidaan,2024,181,"Biography,Drama,History",7.9,23227
tt2567712,Starred Up,Starred Up,2013,106,"Crime,Drama,Thriller",7.3,50821
tt1987680,The Upside,The Upside,2017,126,"Comedy,Drama",7.1,68512
tt12584954,Twisters,Twisters,2024,122,"Action,Adventure,Thriller",6.5,186934
tt4682786,Collateral Beauty,Collateral Beauty,2016,97,"Drama,Romance",6.8,108395
tt0073440,Nashville,Nashville,1975,160,"Comedy,Drama,Music",7.6,30797
tt0834001,Underworld: Rise of the Lycans,Underworld: Rise of the Lycans,2009,92,"Action,Fantasy,Thriller",6.5,173606
