person_name_norm,category,film_count,avg_rating
kj schrock,actor,3,1.3
stefano crescentini,actor,3,1.3666666666666667
sean patrick lovett,actor,4,1.4
gregory snegoff,actor,6,1.4
bernd rieser,actor,3,1.5333333333333334
jo betzing,actor,3,1.7333333333333334
okan karacan,actor,3,1.7666666666666666
chaba hrotko,actor,3,1.8
bob arbogast,actor,3,1.8
anthony cardoza,actor,5,1.82
ozan aydemir,actor,4,1.825
vince offer,actor,3,2
torge oelrich,actor,4,2.025
michael rasmussen,actor,5,2.04
ahmet dursun,actor,3,2.1333333333333333
leo fitzgerald,actor,3,2.2333333333333334
myles fitzgerald,actor,3,2.2333333333333334
oguzhan ugur,actor,3,2.2666666666666666
joe hall,actor,3,2.3
joseph daniel ellis,actor,3,2.4666666666666668
manfredi aliquo,actor,4,2.6
dhruva sarja,actor,3,2.666666666666667
don tjernagel,actor,4,2.6750000000000003
brad overturf,actor,3,2.7
jordan downey,actor,3,2.7
stacy jones,actor,3,2.7
kevin stewart,actor,3,2.7
robert madrid,actor,3,2.7
jonathan spencer,actor,3,2.7
alex pirnie,actor,3,2.7
corey kerr,actor,4,2.75
will sanderson,actor,5,2.7600000000000002
roland jankowsky,actor,5,2.78
xavi israel,actor,3,2.833333333333333
jeremy saville,actor,3,2.833333333333333
steve conte,actor,3,2.8333333333333335
joshua michael allen,actor,3,2.8666666666666663
ferruccio amendola,actor,3,2.8666666666666667
lee bane,actor,11,2.8818181818181818
jahi j.j. zuri,actor,3,2.9
edgardo moreira,actor,3,2.9
jared cohn,actor,4,2.9
chris spinelli,actor,8,2.9125
alexander nevsky,actor,8,2.9125
rhett giles,actor,7,2.9142857142857141
matt lee ingebritson,actor,5,2.9200000000000004
dennis lavalle,actor,3,2.9333333333333336
bill hutchens,actor,3,2.9666666666666668
jason woods,actor,3,3
cole howard,actor,3,3
jason homewood,actor,3,3
kamal rashid khan,actor,3,3
leigh francis,actor,4,3.0000000000000004
dean n. arevalo,actor,3,3.0333333333333332
coleman francis,actor,3,3.0333333333333332
scott butler,actor,3,3.0333333333333332
alex arleo,actor,3,3.0333333333333332
shane ryan-reid,actor,5,3.04
karan johar,actor,4,3.05
jareb dauplaise,actor,3,3.0666666666666664
lochner de kock,actor,3,3.0666666666666664
bertrand altmann,actor,3,3.0666666666666669
tom zembrod,actor,5,3.1
brett azar,actor,3,3.1
sunny charles,actor,3,3.1
jody barton,actor,4,3.125
johnny rey diaz,actor,3,3.1333333333333333
jared morgan,actor,3,3.1333333333333333
barry sattels,actor,3,3.1333333333333333
brandon slagle,actor,4,3.15
dylan vox,actor,4,3.15
simon poland,actor,5,3.1599999999999997
bobby james,actor,3,3.1666666666666665
gianfranco jannuzzo,actor,4,3.175
doga konakoglu,actor,6,3.1999999999999997
jason 'wee man' acuña,actor,3,3.2
david lenik,actor,3,3.2
rib hillis,actor,3,3.2
marc fiorini,actor,3,3.2
sam macaroni,actor,3,3.2
joshua lang,actor,4,3.225
barry jay minoff,actor,4,3.225
nurullah celebi,actor,5,3.2600000000000002
ben loyd-holmes,actor,3,3.2666666666666666
william bagdad,actor,3,3.2666666666666666
larry taylor,actor,3,3.2666666666666666
ernie hudson jr.,actor,3,3.2666666666666666
michael teh,actor,3,3.2666666666666666
steve polites,actor,3,3.2666666666666671
mighty mike murga,actor,4,3.2750000000000004
clint boevers,actor,5,3.2800000000000002
walter george alton,actor,3,3.3
jeff dylan graham,actor,4,3.3
tom nagel,actor,7,3.3142857142857145
gerald crum,actor,5,3.32
jed rowen,actor,4,3.325
veysel diker,actor,3,3.333333333333333
paul logan,actor,9,3.333333333333333
