tconst,primaryTitle,startYear,runtimeMinutes,genres,movie_engagement_score,actor_actress_engagement_score,writer_engagement_score,director_engagement_score
tt0022100,M,1931,99,"Crime,Mystery,Thriller",43.622304617550192,40.798625125085415,39.980035145330611,37.986392962972189
tt0032553,The Great Dictator,1940,125,"Comedy,Drama,War",45.39742772661895,41.885637630192186,41.690858616793683,42.201704092248868
tt0032455,Fantasia,1940,124,"Animation,Family,Fantasy",38.808889832536536,39.37720585038074,39.89171038349145,41.30016954245103
tt0033870,The Maltese Falcon,1941,100,"Crime,Drama,Film-Noir",41.373933942856333,44.339003104429864,38.930127045847513,38.711561742297384
tt0033467,Citizen Kane,1941,119,"Drama,Mystery",46.6463266814031,43.6646791725892,41.710297749592343,39.769013508799894
tt0038650,It's a Wonderful Life,1946,130,"Drama,Family,Fantasy",49.285393967642023,46.490461528119646,38.762624690709963,39.969230597900363
tt0043014,Sunset Boulevard,1950,110,"Drama,Film-Noir",45.411616973183691,40.255031330547148,37.790644605507119,40.578760603485108
tt0049406,The Killing,1956,84,"Crime,Drama,Film-Noir",39.637827804988319,42.00040524470738,40.076533538716447,44.0320286023697
tt0050212,The Bridge on the River Kwai,1957,161,"Adventure,Drama,War",43.665015328626929,43.829138310864018,38.2005542330478,43.344979224871921
tt0050976,The Seventh Seal,1957,96,"Drama,Fantasy",43.156520558158881,41.020250176604385,39.508458880179234,39.269013674844807
tt0053291,Some Like It Hot,1959,121,"Comedy,Music,Romance",44.916961584244255,41.196788780468935,38.095170183033645,41.601629861909245
tt0053125,North by Northwest,1959,136,"Adventure,Drama,Mystery",46.171442528773596,43.323649150714637,40.4663903197337,39.050964503277349
tt0055614,West Side Story,1961,153,"Crime,Drama,Musical",38.766612312334189,39.992694189935747,40.02958699586015,39.310126483788011
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,"Comedy,War",47.61465629795066,43.309760795277917,44.497360976558653,46.099335471692868
tt0059742,The Sound of Music,1965,174,"Biography,Drama,Family",44.176656523352328,40.290964958305423,37.418935208651412,38.558321072299272
tt0062622,2001: A Space Odyssey,1968,149,"Adventure,Sci-Fi",48.851017680316033,42.683219696024679,44.226740713545126,46.168163131997154
tt0063442,Planet of the Apes,1968,112,"Adventure,Sci-Fi",42.545926198559066,42.042937038673905,38.858232994557767,38.180121106837213
tt0064115,Butch Cassidy and the Sundance Kid,1969,110,"Adventure,Biography,Crime",42.994818822701831,43.885119217996944,39.064483532243116,39.8692985653955
tt0066921,A Clockwork Orange,1971,136,"Crime,Sci-Fi",48.921892482131817,44.5799840549546,44.166664544107057,46.656710610138894
tt0071853,Monty Python and the Holy Grail,1975,91,"Adventure,Comedy,Fantasy",47.359217522156548,45.608353854770279,41.738883061542992,42.005222162139091
tt0072684,Barry Lyndon,1975,185,"Adventure,Drama,War",42.923342852994445,41.130797888608569,40.599093845002557,43.969491600033628
tt0075686,Annie Hall,1977,93,"Comedy,Romance",43.13243944349427,42.745081121380458,38.817169933889133,40.411157257173734
tt0078788,Apocalypse Now,1979,147,"Drama,Mystery,War",49.381662277604633,48.229162330996957,42.752597496396504,39.681495319187604
tt0078748,Alien,1979,117,"Horror,Sci-Fi",51.153058686497957,47.780111375366566,38.916862724195482,43.205838282713344
tt0081505,The Shining,1980,146,"Drama,Horror",51.054954504826036,47.509635453292219,42.823421430698964,48.348314338838236
tt0083866,E.T. the Extra-Terrestrial,1982,115,"Adventure,Family,Sci-Fi",44.760578756004229,40.542404977438785,39.305772105065437,42.015410566676039
tt0084787,The Thing,1982,109,"Horror,Mystery,Sci-Fi",46.830202413782132,43.355262689401741,39.797292768372,39.634528494296
tt0085959,Monty Python's the Meaning of Life,1983,107,"Comedy,Musical",38.32532980864395,43.770929514926856,41.707435169057746,41.674118520199819
tt0088258,This Is Spinal Tap,1984,82,"Comedy,Music",41.024914481506357,43.525504929523379,37.237334984748095,38.607062229780361
tt0087544,Nausicaä of the Valley of the Wind,1984,117,"Adventure,Animation,Sci-Fi",42.301930261418377,42.413439683731937,38.937985629606352,44.039485026072491
tt0088763,Back to the Future,1985,116,"Adventure,Comedy,Sci-Fi",52.283320660610578,46.689253858908017,41.888284147771564,43.377972386020538
tt0090605,Aliens,1986,137,"Action,Adventure,Horror",49.704005687287044,48.385753910360215,40.882971976414609,45.91922396359243
tt0093773,Predator,1987,107,"Action,Adventure,Horror",44.383978756261904,42.121304297671216,37.776783930263292,39.786150538656862
tt0094721,Beetlejuice,1988,92,"Comedy,Fantasy",41.551034944528148,40.078744984551953,37.628556716086784,40.637723296749328
tt0095016,Die Hard,1988,132,"Action,Thriller",49.223327732107791,46.213252129305815,38.67199542533524,40.636765121448285
tt0095327,Grave of the Fireflies,1988,88,"Animation,Drama,War",47.308933971006908,42.125459761636712,40.2518109623722,40.240743989235362
tt0097814,Kiki's Delivery Service,1989,103,"Animation,Family,Fantasy",41.045452107984339,40.6102435248383,39.977670724543025,44.29338536521297
tt0097351,Field of Dreams,1989,107,"Drama,Family,Fantasy",38.519955167052252,42.292720502207089,39.990336418792552,39.723536546465539
tt0096874,Back to the Future Part II,1989,108,"Adventure,Comedy,Sci-Fi",45.1259558672997,45.315512932471073,41.998161950178883,43.491757812557637
tt0096754,The Abyss,1989,140,"Adventure,Drama,Mystery",39.848322803296718,40.177377273149418,41.078745428229269,42.738263090797474
tt0099088,Back to the Future Part III,1990,118,"Adventure,Comedy,Sci-Fi",42.809049186898356,44.222313810597342,40.8438618763778,42.296406946671468
tt0102926,The Silence of the Lambs,1991,118,"Crime,Drama,Horror",53.534016487196773,46.511904690381066,43.587890775785247,40.577894992101577
tt0103074,Thelma & Louise,1991,130,"Adventure,Crime,Drama",40.093084127120029,45.197062830915435,39.352169148272438,42.614706042367196
tt0101410,Barton Fink,1991,116,"Comedy,Drama,Thriller",38.971583116336859,42.070047537938279,40.932037386612691,42.220624718765905
tt0101414,Beauty and the Beast,1991,84,"Animation,Family,Fantasy",45.587803966294807,43.284599506711011,41.929817909517709,38.832581342676853
tt0105236,Reservoir Dogs,1992,99,"Crime,Thriller",50.312176435682979,47.527796720116285,45.388783297014662,49.5258346859888
tt0104694,A League of Their Own,1992,128,"Comedy,Drama,Sport",37.793403990301393,40.633489095903428,39.46639303837,39.291583716304373
tt0103873,Dead Alive,1992,104,"Comedy,Fantasy,Horror",37.768063782870144,40.245679412879113,43.084499433856891,44.5098113570713
tt0107822,The Piano,1993,121,"Drama,Music,Romance",37.495436712893181,43.342834156487918,39.00140048408371,39.489902873985365
tt0110322,Legends of the Fall,1994,133,"Drama,Romance,War",39.689260503491006,43.901891162314485,37.884204583017869,41.544891971284393
tt0112573,Braveheart,1995,178,"Biography,Drama,War",50.290209921878336,45.171920935383071,39.549325202436663,42.142003187929724
tt0114746,12 Monkeys,1995,129,"Mystery,Sci-Fi,Thriller",46.618028600291396,43.252732800745967,44.785055591814896,42.8536982718031
tt0112384,Apollo 13,1995,140,"Adventure,Drama,History",42.508126685153648,43.742061781700336,44.4310337033582,41.064338161034755
tt0116209,The English Patient,1996,162,"Drama,Romance,War",39.403952072671622,42.033694741057346,42.627715917253269,41.0110959523275
tt0118971,The Devil's Advocate,1997,144,"Drama,Fantasy,Mystery",42.286527201790832,44.517755707096789,40.03960434088831,41.9934200618045
tt0119698,Princess Mononoke,1997,133,"Adventure,Animation,Fantasy",47.097741020399489,43.482496531277725,43.45859191526273,45.528048673132389
tt0120863,The Thin Red Line,1998,170,"Drama,History,War",40.446256532426126,44.7868675011422,40.766874741751977,40.817193957982127
tt0118929,Dark City,1998,100,"Fantasy,Mystery,Sci-Fi",40.649513861589881,42.425512838435935,38.443172892834291,39.489550598301356
tt0154506,Following,1998,69,"Crime,Mystery,Thriller",37.249120727703506,47.7598511600137,51.846750636182151,51.899655483770076
tt0132477,October Sky,1999,108,"Biography,Drama,Family",39.285425156493332,44.948812105553515,43.155547893780458,39.338867913643135
tt0120689,The Green Mile,1999,189,"Crime,Drama,Fantasy",53.172812857620869,48.542565061124442,40.929029203592279,49.131354684928695
tt0158983,"South Park: Bigger, Longer & Uncut",1999,81,"Animation,Comedy,Fantasy",41.180687559419574,42.240344818380819,38.261587163840694,41.28959750735617
tt0162661,Sleepy Hollow,1999,105,"Fantasy,Horror,Mystery",40.958479611289249,43.5950178897442,39.902146771197,42.936500719154687
tt0190590,"O Brother, Where Art Thou?",2000,107,"Adventure,Comedy,Crime",42.659168210143072,43.2633582507574,40.896292199707155,42.968017753782682
tt0162222,Cast Away,2000,143,"Adventure,Drama,Romance",45.483456709155583,43.108141739326378,40.349371902536859,42.006902322521128
tt0168629,Dancer in the Dark,2000,135,"Crime,Drama,Musical",40.193669408196442,42.750572225094373,38.5599628194272,39.1547297014883
tt0203009,Moulin Rouge!,2001,127,"Drama,Musical,Romance",41.742133450644715,41.385965172745578,41.764300601725921,43.715641033201521
tt0240772,Ocean's Eleven,2001,116,"Crime,Thriller",44.814185001000951,45.470394416233432,41.056004619550016,40.748513195811441
tt0211915,Amélie,2001,122,"Comedy,Romance",49.125393753837734,45.005505571643084,42.246140003351329,41.679077721427149
tt0230600,The Others,2001,104,"Horror,Mystery,Thriller",42.736081574457657,41.776918663133785,41.078199292260685,41.167570374581658
tt0265086,Black Hawk Down,2001,144,"Action,Drama,History",43.509693752214545,42.512651479320326,41.155918385485094,41.553103259609721
tt0268978,A Beautiful Mind,2001,135,"Biography,Drama,Mystery",49.335126507760975,47.271494771814005,45.091387456107171,42.02372174036617
tt0120679,Frida,2002,123,"Biography,Drama,Romance",36.520887055715782,40.786748388069569,38.652000748699407,39.308872700403519
tt0289043,28 Days Later,2002,113,"Drama,Horror,Sci-Fi",42.904406970288484,43.864724669597983,42.266832231575023,43.143095826619877
tt0258463,The Bourne Identity,2002,119,"Action,Mystery,Thriller",45.091095282118552,45.134520539185004,40.865995105094278,40.13726422550419
tt0181689,Minority Report,2002,145,"Action,Crime,Mystery",43.981262569326987,42.040786810820215,43.047955054740264,44.045547801094955
tt0364569,Oldboy,2003,120,"Action,Drama,Mystery",48.511990562882559,43.802734838483559,42.897623531050016,40.560829150876963
tt0308644,Finding Neverland,2004,106,"Biography,Drama,Family",40.54354423430366,45.1476237533058,42.474857188724727,42.476166726482965
tt0372183,The Bourne Supremacy,2004,108,"Action,Mystery,Thriller",43.922870873734915,46.204413395672283,41.751707415768735,43.39957289333335
tt0365748,Shaun of the Dead,2004,99,"Comedy,Horror",45.236941911531822,42.695870313910611,43.00967411068941,43.90994412921161
tt0387564,Saw,2004,103,"Horror,Mystery,Thriller",43.318891888116148,39.8823747336333,38.000108836120177,39.666260301727874
tt0338013,Eternal Sunshine of the Spotless Mind,2004,108,"Drama,Romance,Sci-Fi",50.33516289446036,47.937754789941224,44.836139720023368,41.83194831021143
tt0352248,Cinderella Man,2005,144,"Biography,Drama,Romance",42.524891457463376,43.691481790538873,40.903583686315081,39.924279345999174
tt0401792,Sin City,2005,124,"Crime,Thriller",47.289341866228753,45.345415861661479,37.259004109214032,41.9971146636149
tt0416320,Match Point,2005,124,"Drama,Romance,Thriller",40.842191154005818,44.193467505446591,39.7569770555444,41.296902331168369
tt0121164,Corpse Bride,2005,77,"Animation,Comedy,Drama",40.766396802217557,44.862545067149007,43.661384157062869,44.791069955517855
tt0373469,Kiss Kiss Bang Bang,2005,103,"Comedy,Crime,Mystery",39.903367171442184,41.611060924547388,39.061419173513571,38.911106589748506
tt0457430,Pan's Labyrinth,2006,118,"Drama,Fantasy,War",48.114112723469582,42.364028602297985,41.515027278685793,42.261299509445408
tt0450259,Blood Diamond,2006,143,"Adventure,Drama,Thriller",46.323097718119904,46.464478259342279,44.441999556137446,43.273936989580648
tt0443543,The Illusionist,2006,110,"Drama,Fantasy,Mystery",42.023184757309195,43.832702679611046,40.050185189492332,39.68609259686059
tt0396171,Perfume: The Story of a Murderer,2006,147,"Crime,Drama,Fantasy",40.808882720103917,39.763016139792057,37.297933185967459,39.556378342480592
tt0408236,Sweeney Todd: The Demon Barber of Fleet Street,2007,116,"Drama,Horror,Musical",40.916239929898282,43.744999173051653,43.762053753625956,42.509760265742429
tt0440963,The Bourne Ultimatum,2007,115,"Action,Mystery,Thriller",46.6460485402124,44.063793112365751,41.173588896022878,42.578152538191432
tt0373889,Harry Potter and the Order of the Phoenix,2007,138,"Action,Adventure,Family",43.756671789208866,45.855834203936084,44.27971835832134,43.919001024089461
